Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-11-04,2010.2686767578125,2042.567485952554,1998.3112005285452,2022.2261529870796,2646411
2019-11-05,2017.5076904296875,2025.8915483339317,1987.407855421211,2013.063650696358,2693475
2019-11-06,2005.276123046875,2025.7091847136871,1996.5714745803702,2015.8133290852752,2540719
2019-11-07,2002.3896484375,2019.9362952026288,1993.0892858675693,2019.9362952026288,1915598
2019-11-08,1951.62744140625,2006.2835908142486,1946.175628805832,2006.2835908142486,2788759
2019-11-11,1925.0557861328125,1959.9202371485833,1915.9388573528227,1956.2551221656033,2983768
2019-11-13,1996.204833984375,2000.9694384094582,1940.6782561551206,1940.6782561551206,3823365
2019-11-14,2012.8804931640625,2015.8125393902908,1966.9748544912684,2004.3590590528459,2995915
2019-11-15,1992.4014892578125,2026.3496481576979,1987.1787472041633,2012.1473331920888,2724180
2019-11-18,1972.3817138671875,2004.5888222392978,1968.8539512223476,1996.021526502324,1611089
2019-11-19,1932.248291015625,1974.2595291830912,1928.7663877133175,1972.747759024595,2975313
2019-11-20,1932.01904296875,1956.2545641403044,1919.145285523123,1944.2970851790521,2894129
2019-11-21,1940.769775390625,1948.558143423408,1930.965415494577,1935.180386498532,2052574
2019-11-22,1898.2542724609375,1930.598950785694,1887.9919971969257,1921.4361650676792,3742049
2019-11-25,1907.2340087890625,1910.3951253894284,1880.3869996205879,1900.8659169156906,2737010
2019-11-26,1875.301513671875,1922.2606774324486,1864.672704879276,1914.8848140776215,6561580
2019-11-27,1882.311279296875,1898.2544383592467,1875.2101197448062,1880.2037936573827,2907521
2019-11-28,1903.43115234375,1919.053521158799,1887.5336315491702,1893.9934394458448,2924429
2019-11-29,1881.3489990234375,1910.4408440101631,1874.5227683257726,1910.4408440101631,2064271
2019-12-02,1851.8450927734375,1894.5894042187301,1847.2178406447472,1887.5341030397715,3809860
2019-12-03,1879.2874755859375,1889.366540545199,1841.720051646872,1857.9381387047888,4664774
2019-12-04,1904.4852294921875,1907.692204860589,1874.2480331615443,1881.1201232366905,3334301
2019-12-05,1943.7017822265625,1948.7413143795702,1895.1848765118623,1908.6082681299988,3902721
2019-12-06,1945.80908203125,1949.8406178886687,1925.1010987707205,1946.175503945269,1829461
2019-12-09,1887.9459228515625,1949.7947193826315,1881.5778322451897,1949.7947193826315,2244747
2019-12-10,1844.3314208984375,1888.3129070573686,1835.535168406819,1887.5339807403204,4520045
2019-12-11,1870.9490966796875,1876.5383731750208,1838.7418849457874,1855.8305013879942,4943024
2019-12-12,1851.707763671875,1909.2041438629506,1817.8970551451075,1879.3794492626712,7137306
2019-12-13,1897.8421630859375,1903.4771873306352,1838.9712595357764,1853.6317180074118,5711133
2019-12-16,1948.695068359375,1957.1706434774303,1906.133981831026,1920.5195078317856,5574177
2019-12-17,1983.6971435546875,1987.4081163128612,1941.5941901645704,1948.466279086814,6059673
2019-12-18,1986.2626953125,2018.9737926425303,1972.747587594424,1991.989435871007,8251081
2019-12-19,2042.4306640625,2049.2568942439198,1986.0795355152159,1997.3039472990245,6251505
2019-12-20,2036.795654296875,2058.6031301863954,2023.3722619983002,2034.1385357800189,5548338
2019-12-23,2044.859130859375,2054.250987538093,2024.9759278016743,2024.9759278016743,2247329
2019-12-24,2030.1075439453125,2055.717493496655,2026.0299240329946,2051.5483799183216,1805896
2019-12-26,2017.5992431640625,2042.3846194230146,2011.414363764733,2030.8394217306175,1880367
2019-12-27,2014.438232421875,2040.0023124592126,1993.8219666818286,2023.1428779565613,2720261
2019-12-30,2000.4195556640625,2038.720048964555,1994.8303899750506,2022.2270328381,2288830
2019-12-31,1980.719482421875,2013.0641630082844,1976.825298219424,2005.7339339213174,1909289
2020-01-01,1986.1256103515625,2001.0607727777758,1973.6641317386177,1986.492032316306,1354908
2020-01-02,1977.008056640625,1997.4411102832908,1969.2655486800563,1997.4411102832908,2380752
2020-01-03,2016.4085693359375,2036.8874871281587,1982.827045499476,1982.827045499476,4655761
2020-01-06,2016.2254638671875,2039.590571217724,2004.7261211956734,2020.3945767816708,3023209
2020-01-07,2021.1732177734375,2029.236290406936,2000.969230118358,2016.2710378352929,2429317
2020-01-08,2066.4375,2070.789823744596,2017.6915188006956,2020.3944961755903,5197454
2020-01-09,2028.961181640625,2063.4131155508608,2024.9752810866796,2060.4810693862764,3734173
2020-01-10,2028.2283935546875,2046.9662448337053,2023.1430029511284,2041.4685736300337,1915807
2020-01-13,2006.9705810546875,2033.1760103555794,2001.7934736210748,2032.1682382867714,2843893
2020-01-14,2022.1351318359375,2043.1180457782805,2011.2315060896324,2011.2315060896324,2948452
2020-01-15,2040.4610595703125,2044.2178919269033,2010.4987891755645,2027.7248744214419,2620681
2020-01-16,2051.364501953125,2060.7104986028,2029.5570273033356,2040.5065114463653,3117214
2020-01-17,2033.3135986328125,2064.8793465069134,2027.7242106054127,2053.1509376023855,3281059
2020-01-20,1988.6455078125,2054.47999625984,1975.6800303665207,2011.139970278345,5817599
2020-01-21,1989.2864990234375,2003.4888158937956,1977.374878422492,1988.2785031845729,1902980
2020-01-22,2022.1351318359375,2024.975684946737,1991.7147273723783,1998.4036058230013,1773686
2020-01-23,2012.0791015625,2036.6911736635,2005.4209971733396,2029.3902626578351,2069866
2020-01-24,2005.145751953125,2012.0794100148032,1992.839826120521,2012.0794100148032,1319430
2020-01-27,1992.1510009765625,2014.375252192713,1988.2479737763088,2010.9314046630775,1549101
2020-01-28,2005.467041015625,2009.1864408733509,1976.309134408987,1996.5130381994134,1743024
2020-01-29,1978.69677734375,2008.4055622679407,1974.4722354355836,2006.6148067101162,2306761
